id,category,parent_id
1,レディース,null
2,トップス,1
3,すべて,2
4,Tシャツ/カットソー(半袖/袖なし),2
5,Tシャツ/カットソー(七分/長袖),2
6,シャツ/ブラウス(半袖/袖なし),2
7,シャツ/ブラウス(七分/長袖),2
8,ポロシャツ,2
9,キャミソール,2
10,タンクトップ,2
11,ホルターネック,2
12,ニット/セーター,2
13,チュニック,2
14,カーディガン/ボレロ,2
15,アンサンブル,2
16,ベスト/ジレ,2
17,パーカー,2
18,トレーナー/スウェット,2
19,ベアトップ/チューブトップ,2
20,ジャージ,2
21,その他,2
22,ジャケット/アウター,1
23,すべて,23
24,テーラードジャケット,23
25,ノーカラージャケット,23
26,Gジャン/デニムジャケット,23
27,レザージャケット,23
28,ダウンジャケット,23
29,ライダースジャケット,23
30,ミリタリージャケット,23
31,ダウンベスト,23
32,ジャンパー/ブルゾン,23
33,ポンチョ,23
34,ロングコート,23
35,トレンチコート,23
36,ダッフルコート,23
37,ピーコート,23
38,チェスターコート,23
39,モッズコート,23
40,スタジャン,23
41,毛皮/ファーコート,23
42,スプリングコート,23
43,スカジャン,23
44,その他,23
45,パンツ,1
46,すべて,45
47,デニム/ジーンズ,45
48,ショートパンツ,45
49,カジュアルパンツ,45
50,ハーフパンツ,45
51,チノパン,45
52,ワークパンツ/カーゴパンツ,45
53,クロップドパンツ,45
54,サロペット/オーバーオール,45
55,オールインワン,45
56,サルエルパンツ,45
57,ガウチョパンツ,45
58,その他,45
59,スカート,1
60,すべて,59
61,ミニスカート,59
62,ひざ丈スカート,59
63,ロングスカート,59
64,キュロット,59
65,その他,59
66,ワンピース,1
67,すべて,67
68,ミニワンピース,67
69,ひざ丈ワンピース,67
70,ロングワンピース,67
71,その他,67
72,靴,1
73,すべて,72
74,ハイヒール/パンプス,72
75,ブーツ,72
76,サンダル,72
77,スニーカー,72
78,ミュール,72
79,モカシン,72
80,ローファー/革靴,72
81,フラットシューズ/バレエシューズ,72
82,長靴/レインシューズ,72
83,その他,72
84,ルームウェア/パジャマ,1
85,すべて,84
86,パジャマ,84
87,ルームウェア,84
88,レッグウェア,1
89,すべて,88
90,ソックス,88
91,スパッツ/レギンス,88
92,ストッキング/タイツ,88
93,レッグウォーマー,88
94,その他,88
95,帽子,1
96,すべて,96
97,ニットキャップ/ビーニー,96
98,ハット,96
99,ハンチング/ベレー帽,96
100,キャップ,96
101,キャスケット,96
102,麦わら帽子,96
103,その他,96
104,バッグ,1
105,すべて,105
106,ハンドバッグ,105
107,トートバッグ,105
108,エコバッグ,105
109,リュック/バックパック,105
110,ボストンバッグ,105
111,スポーツバッグ,105
112,ショルダーバッグ,105
113,クラッチバッグ,105
114,ポーチ/バニティ,105
115,ボディバッグ/ウェストバッグ,105
116,マザーズバッグ,105
117,メッセンジャーバッグ,105
118,ビジネスバッグ,105
119,旅行用バッグ/キャリーバッグ,105
120,ショップ袋,105
121,和装用バッグ,105
122,かごバッグ,105
123,その他,105
124,アクセサリー,1
125,すべて,124
126,ネックレス,124
127,ブレスレット,124
128,バングル/リストバンド,124
129,リング,124
130,ピアス(片耳用),124
131,ピアス(両耳用),124
132,イヤリング,124
133,アンクレット,124
134,ブローチ/コサージュ,124
135,チャーム,124
136,その他,124
137,ヘアアクセサリー,1
138,すべて,137
139,ヘアゴム/シュシュ,137
140,ヘアバンド/カチューシャ,137
141,ヘアピン,137
142,その他,137
143,小物,1
144,すべて,143
145,長財布,143
146,折り財布,143
147,コインケース/小銭入れ,143
148,名刺入れ/定期入れ,143
149,キーケース,143
150,キーホルダー,143
151,手袋/アームカバー,143
152,ハンカチ,143
153,ベルト,143
154,マフラー/ショール,143
155,ストール/スヌード,143
156,バンダナ/スカーフ,143
157,ネックウォーマー,143
158,サスペンダー,143
159,サングラス/メガネ,143
160,モバイルケース/カバー,143
161,手帳,143
162,イヤマフラー,143
163,傘,143
164,レインコート/ポンチョ,143
165,ミラー,143
166,タバコグッズ,143
167,その他,143
168,時計,1
169,すべて,168
170,腕時計(アナログ),168
171,腕時計(デジタル),168
172,ラバーベルト,168
173,レザーベルト,168
174,金属ベルト,168
175,その他,168
176,ウィッグ/エクステ,1
177,すべて,176
178,前髪ウィッグ,176
179,ロングストレート,176
180,ロングカール,176
181,ショートストレート,176
182,ショートカール,176
183,その他,176
184,浴衣/水着,1
185,すべて,184
186,浴衣,184
187,着物,184
188,振袖,184
189,長襦袢/半襦袢,184
190,水着セパレート,184
191,水着ワンピース,184
192,水着スポーツ用,184
193,その他,184
194,スーツ/フォーマル/ドレス,1
195,すべて,194
196,スカートスーツ上下,194
197,パンツスーツ上下,194
198,ドレス,194
199,パーティーバッグ,194
200,シューズ,194
201,ウェディング,194
202,その他,194
203,マタニティ,1
204,すべて,204
205,トップス,204
206,アウター,204
207,インナー,204
208,ワンピース,204
209,パンツ/スパッツ,204
210,スカート,204
211,パジャマ,204
212,授乳服,204
213,その他,204
214,その他,1
215,すべて,214
216,コスプレ,214
217,下着,214
218,その他,214
219,メンズ,null
220,トップス,219
221,すべて,220
222,Tシャツ/カットソー(半袖/袖なし),220
223,Tシャツ/カットソー(七分/長袖),220
224,シャツ,220
225,ポロシャツ,220
226,タンクトップ,220
227,ニット/セーター,220
228,パーカー,220
229,カーディガン,220
230,スウェット,220
231,ジャージ,220
232,ベスト,220
233,その他,220
234,ジャケット/アウター,219
235,すべて,234
236,テーラードジャケット,234
237,ノーカラージャケット,234
238,Gジャン/デニムジャケット,234
239,レザージャケット,234
240,ダウンジャケット,234
241,ライダースジャケット,234
242,ミリタリージャケット,234
243,ナイロンジャケット,234
244,フライトジャケット,234
245,ダッフルコート,234
246,ピーコート,234
247,ステンカラーコート,234
248,トレンチコート,234
249,モッズコート,234
250,チェスターコート,234
251,スタジャン,234
252,スカジャン,234
253,ブルゾン,234
254,マウンテンパーカー,234
255,ダウンベスト,234
256,ポンチョ,234
257,カバーオール,234
258,その他,234
259,パンツ,219
260,すべて,259
261,デニム/ジーンズ,259
262,ワークパンツ/カーゴパンツ,259
263,スラックス,259
264,チノパン,259
265,ショートパンツ,259
266,ペインターパンツ,259
267,サルエルパンツ,259
268,オーバーオール,259
269,その他,259
270,靴,219
271,すべて,270
272,スニーカー,270
273,サンダル,270
274,ブーツ,270
275,モカシン,270
276,ドレス/ビジネス,270
277,長靴/レインシューズ,270
278,デッキシューズ,270
279,その他,270
280,バッグ,219
281,すべて,280
282,ショルダーバッグ,280
283,トートバッグ,280
284,ボストンバッグ,280
285,リュック/バックパック,280
286,ウエストポーチ,280
287,ボディーバッグ,280
288,ドラムバッグ,280
289,ビジネスバッグ,280
290,トラベルバッグ,280
291,メッセンジャーバッグ,280
292,エコバッグ,280
293,その他,280
294,スーツ,219
295,すべて,295
296,スーツジャケット,295
297,スーツベスト,295
298,スラックス,295
299,セットアップ,295
300,その他,295
301,帽子,219
302,すべて,301
303,キャップ,301
304,ハット,301
305,ニットキャップ/ビーニー,301
306,ハンチング/ベレー帽,301
307,キャスケット,301
308,サンバイザー,301
309,その他,301
310,アクセサリー,301
311,すべて,301
312,ネックレス,301
313,ブレスレット,301
314,バングル/リストバンド,301
315,リング,301
316,ピアス(片耳用),301
317,ピアス(両耳用),301
318,アンクレット,301
319,その他,301
320,小物,219
321,すべて,320
322,長財布,320
323,折り財布,320
324,マネークリップ,320
325,コインケース/小銭入れ,320
326,名刺入れ/定期入れ,320
327,キーケース,320
328,キーホルダー,320
329,ネクタイ,320
330,手袋,320
331,ハンカチ,320
332,ベルト,320
333,マフラー,320
334,ストール,320
335,バンダナ,320
336,ネックウォーマー,320
337,サスペンダー,320
338,ウォレットチェーン,320
339,サングラス/メガネ,320
340,モバイルケース/カバー,320
341,手帳,320
342,ストラップ,320
343,ネクタイピン,320
344,カフリンクス,320
345,イヤマフラー,320
346,傘,320
347,レインコート,320
348,ミラー,320
349,タバコグッズ,320
350,その他,320
351,時計,219
352,すべて,351
353,腕時計(アナログ),351
354,腕時計(デジタル),351
355,ラバーベルト,351
356,レザーベルト,351
357,金属ベルト,351
358,その他,351
359,水着,219
360,すべて,360
361,一般水着,360
362,スポーツ用,360
363,アクセサリー,360
364,その他,360
365,レッグウェア,219
366,すべて,365
367,ソックス,365
368,レギンス/スパッツ,365
369,レッグウォーマー,365
370,その他,365
371,アンダーウェア,219
372,すべて,372
373,トランクス,372
374,ボクサーパンツ,372
375,その他,372
376,その他,219
377,すべて,376
378,ベビー・キッズ,null
379,ベビー服(女の子用) ~95cm,378
380,すべて,379
381,トップス,379
382,アウター,379
383,パンツ,379
384,スカート,379
385,ワンピース,379
386,ベビードレス,379
387,おくるみ,379
388,下着/肌着,379
389,パジャマ,379
390,ロンパース,379
391,その他,379
392,ベビー服(男の子用) ~95cm,378
393,すべて,392
394,トップス,392
395,アウター,392
396,パンツ,392
397,おくるみ,392
398,下着/肌着,392
399,パジャマ,392
400,ロンパース,392
401,その他,392
402,ベビー服(男女兼用) ~95cm,378
403,すべて,402
404,トップス,402
405,アウター,402
406,パンツ,402
407,おくるみ,402
408,下着/肌着,402
409,パジャマ,402
410,ロンパース,402
411,その他,402
412,キッズ服(女の子用) 100cm~,378
413,すべて,412
414,コート,412
415,ジャケット/上着,412
416,トップス(Tシャツ/カットソー),412
417,トップス(トレーナー),412
418,トップス(チュニック),412
419,トップス(タンクトップ),412
420,トップス(その他),412
421,スカート,412
422,パンツ,412
423,ワンピース,412
424,セットアップ,412
425,パジャマ,412
426,フォーマル/ドレス,412
427,和服,412
428,浴衣,412
429,甚平,412
430,水着,412
431,その他,412
432,キッズ服(男の子用) 100cm~,378
433,すべて,432
434,コート,432
435,ジャケット/上着,432
436,トップス(Tシャツ/カットソー),432
437,トップス(トレーナー),432
438,トップス(その他),432
439,パンツ,432
440,セットアップ,432
441,パジャマ,432
442,フォーマル/ドレス,432
443,和服,432
444,浴衣,432
445,甚平,432
446,水着,432
447,その他,432
448,キッズ服(男女兼用) 100cm~,378
449,すべて,448
450,コート,448
451,ジャケット/上着,448
452,トップス(Tシャツ/カットソー),448
453,トップス(トレーナー),448
454,トップス(その他),448
455,ボトムス,448
456,パジャマ,448
457,その他,448
458,キッズ靴,378
459,すべて,458
460,スニーカー,458
461,サンダル,458
462,ブーツ,458
463,長靴,458
464,その他,458
465,子ども用ファッション小物,378
466,すべて,465
467,靴下/スパッツ,465
468,帽子,465
469,エプロン,465
470,サスペンダー,465
471,タイツ,465
472,ハンカチ,465
473,バンダナ,465
474,ベルト,465
475,マフラー,465
476,傘,465
477,手袋,465
478,スタイ,465
479,バッグ,465
480,その他,465
481,おむつ/トイレ/バス,378
482,すべて,481
483,おむつ用品,481
484,おまる/補助便座,481
485,トレーニングパンツ,481
486,ベビーバス,481
487,お風呂用品,481
488,その他,481
489,外出/移動用品,378
490,すべて,489
491,ベビーカー,489
492,抱っこひも/スリング,489
493,チャイルドシート,489
494,その他,489
495,授乳/食事,378
